match_type,confidence_score,date_bank,date_check,amount,amount_bank,amount_check,description_bank,description_check,transaction_id_bank,transaction_id_check
Phase 1: Deterministic (Unique Amount),,2023-01-01 00:00:00,2022-12-31 00:00:00,46.48,,,BP GAS #1775,Fill up,B0047,R0047
Phase 1: Deterministic (Unique Amount),,2023-01-01 00:00:00,2022-12-31 00:00:00,51.53,,,BP GAS #4099,Fill up,B0092,R0092
Phase 1: Deterministic (Unique Amount),,2023-01-02 00:00:00,2022-12-31 00:00:00,108.21,,,CAFE #6311,Dinner out,B0015,R0015
Phase 1: Deterministic (Unique Amount),,2023-01-02 00:00:00,2022-12-30 00:00:00,137.35,,,TRADER JOES,Groceries,B0084,R0084
Phase 1: Deterministic (Unique Amount),,2023-01-04 00:00:00,2023-01-01 00:00:00,198.14,,,KROGER #6864,Food shopping,B0142,R0142
Phase 1: Deterministic (Unique Amount),,2023-01-09 00:00:00,2023-01-07 00:00:00,158.43,,,KROGER #5496,Grocery store,B0251,R0251
Phase 1: Deterministic (Unique Amount),,2023-01-10 00:00:00,2023-01-10 00:00:00,72.16,,,bp gas #7420,Fuel,B0017,R0017
Phase 1: Deterministic (Unique Amount),,2023-01-14 00:00:00,2023-01-12 00:00:00,19.24,,,AMAZON.COM,Online purchase,B0124,R0124
Phase 1: Deterministic (Unique Amount),,2023-01-14 00:00:00,2023-01-13 00:00:00,147.3,,,WHOLE FOODS #3931,Grocery store,B0184,R0184
Phase 1: Deterministic (Unique Amount),,2023-01-15 00:00:00,2023-01-15 00:00:00,247.31,,,AUTO INS,Car insurance,B0105,R0105
Phase 1: Deterministic (Unique Amount),,2023-01-17 00:00:00,2023-01-16 00:00:00,171.26,,,HEALTH INS PMT,Car insurance,B0021,R0021
Phase 1: Deterministic (Unique Amount),,2023-01-17 00:00:00,2023-01-15 00:00:00,142.99,,,ONLINE PMT ELEC CO,Water bill,B0120,R0120
Phase 1: Deterministic (Unique Amount),,2023-01-19 00:00:00,2023-01-18 00:00:00,58.3,,,CHEVRON #9838,Gas,B0037,R0037
Phase 1: Deterministic (Unique Amount),,2023-01-20 00:00:00,2023-01-20 00:00:00,20.45,,,MONTHLY FEE,Monthly charge,B0220,R0220
Phase 1: Deterministic (Unique Amount),,2023-01-21 00:00:00,2023-01-20 00:00:00,499.15,,,ONLINE TRANSFER,Moved to savings,B0038,R0038
Phase 1: Deterministic (Unique Amount),,2023-01-22 00:00:00,2023-01-21 00:00:00,430.01,,,HEALTH INS PMT,Car insurance,B0175,R0175
Phase 1: Deterministic (Unique Amount),,2023-01-23 00:00:00,2023-01-19 00:00:00,290.54,,,EBAY PURCHASE,Amazon order,B0282,R0282
Phase 1: Deterministic (Unique Amount),,2023-01-26 00:00:00,2023-01-26 00:00:00,4437.99,,,DIRECT DEP PAYROLL,Salary,B0025,R0025
Phase 1: Deterministic (Unique Amount),,2023-01-26 00:00:00,2023-01-24 00:00:00,153.5,,,ATM WD 3734,ATM cash,B0028,R0028
Phase 1: Deterministic (Unique Amount),,2023-01-28 00:00:00,2023-01-28 00:00:00,37.42,,,SHELL #3558,Fuel,B0023,R0023
Phase 1: Deterministic (Unique Amount),,2023-01-28 00:00:00,2023-01-27 00:00:00,72.69,,,RESTAURANT #5737,Restaurant,B0165,R0165
Phase 1: Deterministic (Unique Amount),,2023-02-04 00:00:00,2023-02-02 00:00:00,130.08,,,ONLINE ORDER #4005,Amazon rder,B0029,R0029
Phase 1: Deterministic (Unique Amount),,2023-02-05 00:00:00,2023-02-05 00:00:00,15.13,,,NETFLIX,Gym,B0018,R0018
Phase 1: Deterministic (Unique Amount),,2023-02-05 00:00:00,2023-02-04 00:00:00,24.04,,,GYM MEMBERSHIP,Music subscription,B0042,R0042
Phase 1: Deterministic (Unique Amount),,2023-02-05 00:00:00,2023-02-04 00:00:00,229.96,,,AMAZON.COM,Amazon order,B0063,R0063
Phase 1: Deterministic (Unique Amount),,2023-02-07 00:00:00,2023-02-07 00:00:00,3511.77,,,ACH CREDIT SALARY,Paycheck,B0032,R0032
Phase 1: Deterministic (Unique Amount),,2023-02-07 00:00:00,2023-02-06 00:00:00,887.44,,,ONLINE TRANSFER,Internal transfer,B0050,R0050
Phase 1: Deterministic (Unique Amount),,2023-02-08 00:00:00,2023-02-05 00:00:00,205.21,,,KROGER #9110,Groceries,B0102,R0102
Phase 1: Deterministic (Unique Amount),,2023-02-08 00:00:00,2023-02-06 00:00:00,169.06,,,KROGER #8022,Grocery store,B0265,R0265
Phase 1: Deterministic (Unique Amount),,2023-02-09 00:00:00,2023-02-07 00:00:00,35.66,,,CAFE #2648,Lunch,B0230,R0230
Phase 1: Deterministic (Unique Amount),,2023-02-12 00:00:00,2023-02-11 00:00:00,13.15,,,NETFLIX,GYM,B0178,R0178
Phase 1: Deterministic (Unique Amount),,2023-02-14 00:00:00,2023-02-13 00:00:00,36.27,,,CHEVRON #1860,Gas,B0002,R0002
Phase 1: Deterministic (Unique Amount),,2023-02-14 00:00:00,2023-02-12 00:00:00,116.92,,,DINER #1197,Dinner out,B0186,R0186
Phase 1: Deterministic (Unique Amount),,2023-02-14 00:00:00,2023-02-13 00:00:00,103.15,,,ONLINE ORDER #7287,Online shopping,B0189,R0189
Phase 1: Deterministic (Unique Amount),,2023-02-17 00:00:00,2023-02-16 00:00:00,126.19,,,ATM WITHDRAWAL #9754,Cash withdrawal,B0260,R0260
Phase 1: Deterministic (Unique Amount),,2023-02-20 00:00:00,2023-02-20 00:00:00,25.64,,,MONTHLY FEE,Bank fee,B0083,R0083
Phase 1: Deterministic (Unique Amount),,2023-02-21 00:00:00,2023-02-21 00:00:00,1357.67,,,XFER TO SAVINGS,Transfer,B0159,R0159
Phase 1: Deterministic (Unique Amount),,2023-02-24 00:00:00,2023-02-23 00:00:00,100.83,,,TRADER JOES,Food shopping,B0034,R0034
Phase 1: Deterministic (Unique Amount),,2023-02-24 00:00:00,2023-02-21 00:00:00,83.9,,,EBAY PURCHASE,Amazon order,B0198,R0198
Phase 1: Deterministic (Unique Amount),,2023-02-25 00:00:00,2023-02-21 00:00:00,158.59,,,AMAZON.COM,Online purchase,B0126,R0126
Phase 1: Deterministic (Unique Amount),,2023-02-26 00:00:00,2023-02-21 00:00:00,625.33,,,CHECK #3385,Paid by check,B0207,R0207
Phase 1: Deterministic (Unique Amount),,2023-02-27 00:00:00,2023-02-26 00:00:00,226.34,,,AMAZON.COM,Online purchase,B0001,R0001
Phase 1: Deterministic (Unique Amount),,2023-02-27 00:00:00,2023-02-27 00:00:00,392.84,,,INSURANCE PMT,Insuranc payment,B0238,R0238
Phase 1: Deterministic (Unique Amount),,2023-02-28 00:00:00,2023-02-28 00:00:00,1932.97,,,ONLINE TRANSFER,Moved to savings,B0065,R0065
Phase 1: Deterministic (Unique Amount),,2023-02-28 00:00:00,2023-02-25 00:00:00,115.32,,,AMAZON.COM,Online purchase,B0291,R0291
Phase 1: Deterministic (Unique Amount),,2023-03-01 00:00:00,2023-02-27 00:00:00,44.51,,,RESTAURANT #6539,Eating out,B0231,R0231
Phase 1: Deterministic (Unique Amount),,2023-03-06 00:00:00,2023-03-05 00:00:00,59.07,,,SAFEWAY #7019,Food shopping,B0122,R0122
Phase 1: Deterministic (Unique Amount),,2023-03-06 00:00:00,2023-03-04 00:00:00,137.87,,,ATM WITHDRAWAL #7374,Cash,B0125,R0125
Phase 1: Deterministic (Unique Amount),,2023-03-07 00:00:00,2023-03-05 00:00:00,91.77,,,RESTAURANT #7585,Eating out,B0157,R0157
Phase 1: Deterministic (Unique Amount),,2023-03-08 00:00:00,2023-03-07 00:00:00,407.01,,,XFER TO SAVINGS,moved to savings,B0036,R0036
Phase 1: Deterministic (Unique Amount),,2023-03-08 00:00:00,2023-03-08 00:00:00,33.45,,,GYM MEMBERSHIP,Music subscription,B0133,R0133
Phase 1: Deterministic (Unique Amount),,2023-03-09 00:00:00,2023-03-09 00:00:00,2874.78,,,DIRECT DEPOSIT,MONTHLY SALARY,B0269,R0269
Phase 1: Deterministic (Unique Amount),,2023-03-09 00:00:00,2023-03-06 00:00:00,115.81,,,MISC TRANSACTION 9096,Other expense,B0308,R0308
Phase 1: Deterministic (Unique Amount),,2023-03-10 00:00:00,2023-03-10 00:00:00,58.47,,,CAFE #2707,Eating out,B0173,R0173
Phase 1: Deterministic (Unique Amount),,2023-03-10 00:00:00,2023-03-09 00:00:00,94.11,,,DINER #9680,Dinner out,B0202,R0202
Phase 1: Deterministic (Unique Amount),,2023-03-11 00:00:00,2023-03-11 00:00:00,191.79,,,WHOLE FOODS #6791,Grocery store,B0174,R0174
Phase 1: Deterministic (Unique Amount),,2023-03-15 00:00:00,2023-03-10 00:00:00,923.27,,,CK #6699,Paid by check,B0244,R0244
Phase 1: Deterministic (Unique Amount),,2023-03-17 00:00:00,2023-03-17 00:00:00,228.0,,,WHOLE FOODS #4943,Weekly groceries,B0051,R0051
Phase 1: Deterministic (Unique Amount),,2023-03-17 00:00:00,2023-03-17 00:00:00,626.82,,,ONLINE TRANSFER,Internal transfer,B0123,R0123
Phase 1: Deterministic (Unique Amount),,2023-03-18 00:00:00,2023-03-16 00:00:00,62.46,,,KROGER #3568,Food shopping,B0081,R0081
Phase 1: Deterministic (Unique Amount),,2023-03-20 00:00:00,2023-03-17 00:00:00,157.81,,,CK #8989,Check #8989,B0056,R0056
Phase 1: Deterministic (Unique Amount),,2023-03-20 00:00:00,2023-03-16 00:00:00,105.25,,,AMAZON.COM,Online shopping,B0268,R0268
Phase 1: Deterministic (Unique Amount),,2023-03-22 00:00:00,2023-03-20 00:00:00,200.63,,,ONLINE PMT ELEC CO,Water bill,B0187,R0187
Phase 1: Deterministic (Unique Amount),,2023-03-23 00:00:00,2023-03-21 00:00:00,228.5,,,CK #5389,Check payment,B0181,R0181
Phase 1: Deterministic (Unique Amount),,2023-03-23 00:00:00,2023-03-20 00:00:00,249.17,,,TRADER JOES,Weekly groceries,B0200,R0200
Phase 1: Deterministic (Unique Amount),,2023-03-28 00:00:00,2023-03-23 00:00:00,490.55,,,MISC TRANSACTION 4009,Other expense,B0303,R0303
Phase 1: Deterministic (Unique Amount),,2023-04-04 00:00:00,2023-04-04 00:00:00,45.41,,,EXXON #1995,Gas station,B0061,R0061
Phase 1: Deterministic (Unique Amount),,2023-04-04 00:00:00,2023-04-03 00:00:00,45.15,,,DINER #5859,Restaurant,B0072,R0072
Phase 1: Deterministic (Unique Amount),,2023-04-06 00:00:00,2023-04-03 00:00:00,126.09,,,SAFEWAY #2184,Weekly groceries,B0288,R0288
Phase 1: Deterministic (Unique Amount),,2023-04-07 00:00:00,2023-04-04 00:00:00,187.43,,,AMAZON.COM,Online shopping,B0152,R0152
Phase 1: Deterministic (Unique Amount),,2023-04-08 00:00:00,2023-04-06 00:00:00,73.28,,,RESTAURANT #8215,Restaurant,B0096,R0096
Phase 1: Deterministic (Unique Amount),,2023-04-09 00:00:00,2023-04-07 00:00:00,212.12,,,KROGER #2693,Groceries,B0258,R0258
Phase 1: Deterministic (Unique Amount),,2023-04-12 00:00:00,2023-04-11 00:00:00,225.07,,,ONLINE PMT GAS CO,Water bill,B0109,R0109
Phase 1: Deterministic (Unique Amount),,2023-04-13 00:00:00,2023-04-10 00:00:00,116.68,,,SAFEWAY#8513,Food shopping,B0041,R0041
Phase 1: Deterministic (Unique Amount),,2023-04-15 00:00:00,2023-04-13 00:00:00,177.57,,,TRADER JOES,Groceries,B0245,R0245
Phase 1: Deterministic (Unique Amount),,2023-04-16 00:00:00,2023-04-16 00:00:00,306.53,,,MISC TRANSACTION 5014,Other expense,B0301,R0301
Phase 1: Deterministic (Unique Amount),,2023-04-17 00:00:00,2023-04-15 00:00:00,60.37,,,ATM 1225 CASH,Cash withdrawal,B0263,R0263
Phase 1: Deterministic (Unique Amount),,2023-04-20 00:00:00,2023-04-18 00:00:00,239.27,,,SAFEWAY #2291,Food shopping,B0158,R0158
Phase 1: Deterministic (Unique Amount),,2023-04-20 00:00:00,2023-04-17 00:00:00,350.51,,,CHECK #4327,Paid by check,B0289,R0289
Phase 1: Deterministic (Unique Amount),,2023-04-21 00:00:00,2023-04-19 00:00:00,65.95,,,TRADER JOES,Grocery store,B0004,R0004
Phase 1: Deterministic (Unique Amount),,2023-04-21 00:00:00,2023-04-19 00:00:00,99.35,,,ONLINE PMT GAS CO,Utilities,B0140,R0140
Phase 1: Deterministic (Unique Amount),,2023-04-21 00:00:00,2023-04-19 00:00:00,54.97,,,KROGER #2843,Grocery store,B0201,R0201
Phase 1: Deterministic (Unique Amount),,2023-04-22 00:00:00,2023-04-22 00:00:00,186.05,,,ONLINE TRANSFER,Internal transfer,B0233,R0233
Phase 1: Deterministic (Unique Amount),,2023-04-26 00:00:00,2023-04-26 00:00:00,114.31,,,safeway #4385,Food shopping,B0020,R0020
Phase 1: Deterministic (Unique Amount),,2023-04-27 00:00:00,2023-04-26 00:00:00,251.68,,,AUTO INS,Health insurance,B0131,R0131
Phase 1: Deterministic (Unique Amount),,2023-05-05 00:00:00,2023-05-03 00:00:00,100.49,,,AMAZON.COM,Online purchase,B0259,R0259
Phase 1: Deterministic (Unique Amount),,2023-05-05 00:00:00,2023-05-02 00:00:00,122.18,,,EBAY PURCHASE,Online shopping,B0276,R0276
Phase 1: Deterministic (Unique Amount),,2023-05-05 00:00:00,2023-05-04 00:00:00,158.14,,,KROGER #7102,Weekly groceries,B0287,R0287
Phase 1: Deterministic (Unique Amount),,2023-05-09 00:00:00,2023-05-09 00:00:00,176.44,,,WHOLE FOODS #4696,Groceries,B0163,R0163
Phase 1: Deterministic (Unique Amount),,2023-05-10 00:00:00,2023-05-09 00:00:00,51.94,,,ATM 9006 CASH,Cash withdrawal,B0080,R0080
Phase 1: Deterministic (Unique Amount),,2023-05-10 00:00:00,2023-05-09 00:00:00,191.62,,,WHOLE FOODS #1301,Weekly groceries,B0279,R0279
Phase 1: Deterministic (Unique Amount),,2023-05-12 00:00:00,2023-05-08 00:00:00,75.99,,,EBAY PURCHASE,Online purchase,B0216,R0216
Phase 1: Deterministic (Unique Amount),,2023-05-12 00:00:00,2023-05-10 00:00:00,19.01,,,EBAY PURCHASE,Online purchase,B0223,R0223
Phase 1: Deterministic (Unique Amount),,2023-05-17 00:00:00,2023-05-16 00:00:00,59.64,,,TRADER JOES,Grocery store,B0086,R0086
Phase 1: Deterministic (Unique Amount),,2023-05-17 00:00:00,2023-05-16 00:00:00,235.17,,,kroger #7278,Groceries,B0093,R0093
Phase 1: Deterministic (Unique Amount),,2023-05-18 00:00:00,2023-05-18 00:00:00,45.04,,,DINER #9322,Lunch,B0010,R0010
Phase 1: Deterministic (Unique Amount),,2023-05-18 00:00:00,2023-05-17 00:00:00,208.63,,,ATM WITHDRAWAL #5493,ATM cash,B0246,R0246
Phase 1: Deterministic (Unique Amount),,2023-05-21 00:00:00,2023-05-21 00:00:00,768.69,,,ACH TRANSFER,Moved to savings,B0150,R0150
Phase 1: Deterministic (Unique Amount),,2023-05-21 00:00:00,2023-05-19 00:00:00,118.1,,,RESTAURANT #9958,Eating out,B0180,R0180
Phase 1: Deterministic (Unique Amount),,2023-05-21 00:00:00,2023-05-21 00:00:00,60.0,,,SHELL #1659,Fuel,B0193,R0193
Phase 1: Deterministic (Unique Amount),,2023-05-23 00:00:00,2023-05-22 00:00:00,85.39,,,DINER #1466,Restaurant,B0007,R0007
Phase 1: Deterministic (Unique Amount),,2023-05-23 00:00:00,2023-05-22 00:00:00,2987.73,,,DIRECT DEPOSIT,Monthly salary,B0071,R0071
